File_ID,ข้อความ Original_Text,Detected_Items,สาเหตุที่ผิด / ข้อสังเกต
21-21705-8.wav,ป่าอ้อดอนชัย...,ป่า,เป็นส่วนหนึ่งของชื่อตำบล/สถานที่ ไม่ใช่ชื่อคน
21-21728-7.wav,...ชื่อเขานะเขาบอกว่า...,เขา,เป็นคำสรรพนามแทนบุคคล ไม่ใช่ชื่อเฉพาะ
21-21736-42.wav,...ท้องที่ สภ.ตาคลี,สภ,เป็นอักษรย่อของหน่วยงาน (สถานีตำรวจภูธร)
7-7358-12.wav,...โรงเรียนเอกชนชื่อดัง...,ดัง,เป็นคำคุณศัพท์ขยายคำนาม
7-7358-6.wav,...โรงเรียนเอกชนชื่อดัง...,ดัง,เป็นคำคุณศัพท์ขยายคำนาม
7-7359-4.wav,...รถของนายกอบต.บังสมบูรณ์...,อบต.บังสมบูรณ์,จับชื่อหน่วยงานและสถานที่รวมมาเป็นชื่อคน
7-7359-58.wav,เป็นอดีตนายกอบต.คนเก่า,อบต,เป็นอักษรย่อของหน่วยงาน
7-7384-47.wav,...เป็นนายหนังตะลุง,หนัง,เป็นส่วนหนึ่งของชื่ออาชีพ (นายหนัง)
7-7400-152.wav,โอเคชื่อบริษัทที่จังหวัด...,บริษัท,เป็นคำนามทั่วไป
0-274-112.wav,...เนี่ยมีชื่อเสียงมากยิ่งขึ้น...,เสียงมากยิ่งขึ้น,จับวลีขยายความติดมาเป็นชื่อคน
0-275-124.wav,...ใจค่ะพี่นางคะ,คะ,จับคำลงท้ายประโยคเป็นชื่อคน
0-275-155.wav,พี่นางตัดสินใจเลยว่า...,ตัดสินใจ,"จับคำกริยา ""ตัดสินใจ"" เป็นชื่อคน"
0-275-97.wav,...พี่นางค่อยค่อยทำความ...,ค่อยค่อย,เป็นคำวิเศษณ์บอกอาการ
21-21931-55.wav,...เป็นโรงแรมม่านรูด...,โรงแรม,เป็นคำนามบอกสถานที่
7-7563-630.wav,น้องเขาชื่อสมมุติชื่อน้อง...,สมมุติ,เป็นคำกริยา/นามทั่วไปที่บอกว่าชื่อนี้ไม่ใช่ชื่อจริง
21-21973-3.wav,...ประธานกรรมการบริษัท...,บริษัท,เป็นคำนามทั่วไป
7-7619-20.wav,...นายปิดล้อมหมดเลยนะ,ปิดล้อมหมด,"จับวลีกริยา ""ปิดล้อมหมด"" เป็นชื่อคน"
